MSC Cezar;Ranking R17 File;OFB;#28
24;"Edycja 22.";"Grudzieñ 2022";2022-12-31;6000
---
r1_pid;r1_score;r1_loc
12197;1112.5585;1
8513;915.8045;2
6658;728.9895;3
4662;658.1555;4
5176;588.5590;5
7291;580.8580;6
1661;561.3455;7
1318;534.1450;8
11550;533.2810;9
8158;514.9330;10
6341;495.1370;11
6815;489.8035;12
5341;487.7610;13
6706;481.6790;14
8979;470.1915;15
12154;454.4585;16
4740;450.2435;17
9138;431.4885;18
2806;423.8020;19
14728;416.2645;20
14783;408.2250;21
11319;406.7100;22
4762;403.9075;23
6909;398.9955;24
6973;396.6930;25
4111;384.0660;26
6540;381.3035;27
12450;379.7925;28
4250;357.6915;29
8203;347.5240;30
4108;340.3775;31
6336;336.4580;32
5611;335.8445;33
14782;333.0135;34
1539;326.8490;35
13438;323.8020;36
6887;317.6235;37
5056;313.9810;38
7242;311.1935;39
4842;297.9765;40
7849;297.3845;41
6554;297.0335;42
10085;296.7065;43
9146;292.6875;44
15595;292.3640;45
12320;287.0710;46
4451;284.9785;47
1223;283.1890;48
9357;278.9200;49
9755;265.5590;50
1865;264.0235;51
2121;261.0675;52
4163;258.1695;53
7809;253.0980;54
10370;252.8945;55
8294;252.7905;56
1115;250.8190;57
7431;249.1545;58
4198;246.8880;59
5423;246.3090;60
7869;246.1205;61
2966;238.9645;62
5363;237.8310;63
13709;232.1490;64
2934;232.1460;65
6620;224.6675;66
6551;224.5640;67
6795;224.0340;68
6621;221.9815;69
1726;221.7135;70
14619;217.6555;71
9550;214.4320;72
4922;214.0805;73
14885;210.7095;74
8549;209.5385;75
1347;203.6750;76
5856;202.9430;77
10450;199.8820;78
4535;198.5225;79
4699;197.6870;80
17167;196.5275;81
5574;190.3315;82
5670;188.1300;83
10095;184.7135;84
4665;180.2255;85
4405;178.1000;86
8312;175.7325;87
10533;175.3635;88
9643;173.9590;89
3960;173.3120;90
2904;173.1770;91
15511;172.1615;92
1345;168.5185;93
7725;167.8440;94
12999;166.8950;95
2827;166.7670;96
4735;166.6445;97
5310;164.7930;98
4022;164.5205;99
1138;163.9420;100
21517;161.5200;101
5374;159.8580;102
11296;159.2715;103
18890;159.1535;104
12474;158.5285;105
8769;158.3720;106
4212;157.9185;107
7544;156.7725;108
4242;154.5825;109
5282;153.9925;110
8485;150.7635;111
3644;149.0515;112
11903;148.8370;113
15477;148.4190;114
1749;147.7620;115
5111;147.0145;116
4602;146.8175;117
12899;145.3835;118
17721;144.5930;119
17161;143.5625;120
4588;142.9795;121
19120;139.3650;122
1220;137.9540;123
18760;135.0860;124
5520;133.5045;125
11600;132.0840;126
5859;131.1620;127
12123;129.5895;128
3496;128.9990;129
8950;126.1745;130
2013;126.0730;131
1617;126.0260;132
16898;125.8195;133
1206;125.0975;134
3345;124.9925;135
13412;124.9055;136
5464;124.2050;137
5352;123.9115;138
7190;123.7505;139
6382;123.4590;140
3293;122.8065;141
4707;122.0445;142
2698;121.3830;143
7341;121.1810;144
8283;121.1730;145
3939;120.4060;146
4887;120.2405;147
2673;120.1090;148
16645;119.8585;149
5400;119.7400;150
4353;119.1185;151
5353;118.4050;152
5691;118.0495;153
5084;117.2495;154
3978;117.1320;155
7603;116.8685;156
2676;116.0120;157
2727;115.4260;158
1739;114.1015;159
8195;112.8865;160
7722;112.8750;161
7827;111.7420;162
8978;111.2270;163
14286;111.0305;164
6963;110.9825;165
6845;110.3880;166
11809;110.0290;167
4303;109.8360;168
15519;109.5450;169
12127;109.2310;170
5059;109.1035;171
1054;109.0955;172
5989;108.9915;173
6131;108.6710;174
7811;108.5875;175
3546;108.5590;176
4431;108.4230;177
2644;108.3260;178
15621;107.8855;179
4985;107.3310;180
1643;107.1435;181
1128;106.6985;182
4563;105.9840;183
17298;105.9705;184
18252;105.6265;185
3844;104.9060;186
5314;104.8880;187
2501;104.6805;188
16859;103.1160;189
3184;102.7575;190
8308;102.2985;191
14234;101.3735;192
2519;100.4180;193
2666;100.2465;194
3206;100.1295;195
15120;99.7155;196
21439;99.0400;197
21440;99.0400;197
3423;98.1855;199
5568;98.0300;200
16875;97.3365;201
9549;96.5455;202
6802;96.0340;203
2894;95.5945;204
3920;95.3215;205
2515;95.2410;206
5708;95.2260;207
4906;93.8420;208
5534;93.2945;209
2114;92.9490;210
5732;92.6685;211
1208;92.4930;212
17082;92.4420;213
5023;91.9870;214
9822;91.9000;215
14420;91.6715;216
7818;91.1290;217
18256;91.0015;218
2809;90.6825;219
2460;89.7000;220
7940;88.1500;221
2642;88.0765;222
18128;87.7205;223
4531;87.6580;224
6648;87.1765;225
4319;87.0930;226
5446;86.9640;227
14250;86.4265;228
7710;86.1530;229
5624;85.9435;230
1272;85.4520;231
10209;85.4370;232
5523;85.3995;233
4347;84.6315;234
1397;84.6250;235
4110;84.5025;236
1781;84.2470;237
19121;83.7330;238
16829;83.6335;239
3497;83.5100;240
16184;83.4310;241
5454;83.1680;242
5822;82.5545;243
9568;82.3170;244
6923;82.1615;245
7563;82.1330;246
16259;81.9755;247
10570;81.8660;248
4751;81.8285;249
3096;81.6240;250
7729;81.3940;251
6542;80.7845;252
8117;80.6915;253
6543;80.3530;254
6716;80.2925;255
7221;80.1780;256
3003;79.8265;257
2495;79.3370;258
2703;79.1535;259
1381;78.9045;260
3434;78.0805;261
12575;76.9400;262
3549;76.6465;263
3633;76.5925;264
16317;76.2735;265
10721;76.1780;266
6801;76.0195;267
4067;75.8625;268
11471;75.7295;269
6112;75.6105;270
13411;75.6000;271
5386;75.4235;272
11769;74.9915;273
8593;74.8630;274
7099;74.7280;275
17030;74.3775;276
7246;74.0900;277
18378;74.0000;278
3542;73.8390;279
2489;73.6085;280
7215;73.5500;281
6116;73.4695;282
13364;73.2255;283
18257;73.1440;284
7617;72.3510;285
3529;72.2985;286
7906;72.2985;286
1705;72.2225;288
2831;72.1590;289
5483;71.6535;290
1291;71.6020;291
7114;70.7575;292
17299;70.6200;293
2683;70.5575;294
1483;70.4590;295
7271;70.2000;296
2116;70.0760;297
10403;69.9515;298
8297;69.5865;299
7815;69.5265;300
6137;69.1915;301
8182;68.8495;302
5876;68.7330;303
12129;68.4290;304
7000;68.2795;305
1433;68.2460;306
10472;67.6495;307
16183;67.4480;308
7033;67.2865;309
2846;67.1920;310
4682;66.9990;311
2157;66.7810;312
7044;66.7540;313
7902;66.6335;314
1152;66.5575;315
6129;66.2850;316
15414;66.0380;317
6598;65.9320;318
9763;65.5590;319
8434;64.9385;320
2158;64.2505;321
9418;64.2170;322
7346;64.0990;323
5880;63.9975;324
6225;63.8080;325
7854;63.7310;326
4949;62.9855;327
4043;62.9545;328
17495;62.8205;329
5069;62.6155;330
4077;62.1375;331
8930;61.6300;332
6904;61.4860;333
16140;61.1755;334
2468;60.6945;335
1502;60.5565;336
12272;60.5045;337
11834;60.3710;338
6830;60.1200;339
5213;59.8770;340
7777;59.7480;341
17766;59.5990;342
17046;59.3860;343
4015;59.2675;344
6812;59.1340;345
6765;59.0250;346
3064;58.5355;347
4430;58.3910;348
4360;58.0850;349
12108;57.9465;350
7796;57.5765;351
1288;57.5755;352
6580;57.5390;353
12846;57.4520;354
3807;57.3665;355
9736;57.3300;356
1224;57.1910;357
9228;57.0675;358
17935;56.9740;359
4547;56.9400;360
5701;56.8280;361
8119;56.7405;362
6705;56.6845;363
3464;56.6525;364
11928;56.5235;365
1831;56.4560;366
6080;56.4395;367
2921;56.3815;368
3454;56.3705;369
6128;56.2585;370
2507;56.1270;371
16585;56.0495;372
13174;55.9165;373
4852;55.2375;374
3696;54.8040;375
1171;54.7310;376
4463;54.6455;377
6165;54.5020;378
11800;54.3565;379
17494;54.1755;380
4696;54.1485;381
7794;54.0550;382
2807;53.9205;383
3020;53.8875;384
21314;53.8830;385
10105;53.3725;386
7939;53.2570;387
2933;52.8950;388
4593;52.8680;389
4474;52.7725;390
2757;52.7335;391
14965;52.7260;392
6994;52.6875;393
6800;52.6335;394
5830;52.5200;395
11899;52.3715;396
7054;52.2520;397
2497;52.2015;398
4399;52.1765;399
2671;52.1465;400
5548;52.1390;401
5678;52.0920;402
10548;52.0690;403
5264;52.0105;404
5378;51.5860;405
5505;51.5705;406
2533;51.5150;407
12006;51.5130;408
13003;51.4365;409
3063;51.2590;410
5403;50.7990;411
10479;50.7910;412
8859;50.7630;413
7984;50.7595;414
7542;50.7110;415
18645;50.6465;416
12018;50.5565;417
5730;50.3780;418
8341;50.2045;419
4509;50.0780;420
11789;50.0420;421
3401;50.0280;422
1713;49.9745;423
10534;49.8360;424
2891;49.5630;425
6338;49.5460;426
2174;49.4695;427
3820;49.3850;428
10898;49.2600;429
6147;49.2405;430
9491;49.1485;431
2524;49.1025;432
21315;49.0740;433
18284;48.9905;434
6346;48.9775;435
7061;48.9185;436
8929;48.9065;437
9245;48.8960;438
5081;48.8160;439
9594;48.7490;440
6522;48.7260;441
7370;48.6625;442
1882;48.6065;443
5696;48.6010;444
17361;48.4255;445
16699;48.2090;446
3841;48.0825;447
4109;48.0725;448
1945;48.0315;449
5615;47.8035;450
4413;47.6930;451
1840;47.5980;452
2324;47.4310;453
2976;47.4120;454
3104;47.2965;455
3455;47.2800;456
5797;47.0590;457
9355;46.7560;458
5606;46.6400;459
8911;46.5085;460
3763;46.4870;461
4632;46.4505;462
13060;46.3750;463
3029;46.3450;464
7642;46.3275;465
6086;46.3230;466
4157;46.2860;467
9303;46.1740;468
13993;46.1500;469
6507;46.0455;470
2888;45.8580;471
11198;45.7925;472
20169;45.7560;473
1286;45.7540;474
5210;45.6995;475
15757;45.6995;475
2990;45.6230;477
15916;45.5075;478
12374;45.5055;479
9387;45.4920;480
5656;45.4305;481
5918;45.1695;482
3933;45.0870;483
1311;45.0840;484
2395;45.0810;485
6335;45.0215;486
1352;44.9990;487
17675;44.9935;488
1299;44.9810;489
8855;44.9810;489
1239;44.8565;491
6915;44.7445;492
6175;44.5530;493
5142;44.5245;494
2382;44.4555;495
6556;44.4420;496
20076;44.4265;497
10938;44.3210;498
15032;44.0315;499
4829;44.0260;500
6121;43.9550;501
6090;43.7810;502
6672;43.7800;503
1486;43.7600;504
5156;43.7455;505
4712;43.7380;506
1189;43.7005;507
3714;43.5740;508
1770;43.5605;509
10793;43.5280;510
3775;43.5170;511
7596;43.5160;512
12253;43.5030;513
1297;43.4640;514
6818;43.4295;515
9424;43.1900;516
12439;43.0465;517
