MSC Cezar;Ranking R17 File;OFB;#28
17;"Edycja 15.";"Marzec 2021";2021-03-31;6000
---
r1_pid;r1_score;r1_loc
6658;902.1710;1
12197;892.5340;2
4662;858.3815;3
8513;825.9530;4
5341;621.8865;5
5176;596.4080;6
8979;594.9950;7
11319;569.5080;8
6973;568.4425;9
6706;557.3545;10
1661;548.7225;11
2806;532.4090;12
1318;520.0300;13
6341;504.4210;14
1115;491.5645;15
6815;485.2285;16
6540;482.0105;17
8158;480.3725;18
7291;461.2205;19
4740;455.9735;20
10085;442.2545;21
4250;422.8140;22
14728;420.4300;23
11550;402.0275;24
9138;398.5720;25
9146;394.1840;26
6909;392.0410;27
4108;386.0320;28
4451;375.6230;29
5363;366.7875;30
12450;355.3360;31
8203;338.1070;32
5611;330.5840;33
1539;324.3115;34
5056;317.6035;35
1865;316.8465;36
12154;315.4115;37
13438;315.2205;38
5111;314.4680;39
9357;311.4795;40
15595;309.4300;41
7869;309.2895;42
4842;307.9765;43
4762;295.8670;44
6887;289.3145;45
2121;287.4430;46
7242;283.2185;47
1347;282.9795;48
4922;280.9650;49
4111;278.6750;50
9755;277.6585;51
4535;272.7265;52
6551;269.4130;53
3844;266.0395;54
7809;263.8905;55
7849;262.0855;56
14619;260.6535;57
1223;258.4395;58
2934;258.0870;59
7431;255.7865;60
4163;251.7555;61
10370;247.9600;62
6795;244.9040;63
6963;244.4705;64
5374;243.4610;65
1726;241.8945;66
19120;240.3040;67
5574;237.5860;68
5670;234.8770;69
8294;234.5965;70
9550;232.6590;71
6554;230.1680;72
5718;229.8755;73
2966;228.4970;74
12320;227.5390;75
3960;224.3320;76
4588;218.7295;77
5856;218.6920;78
4665;216.9865;79
4699;215.1775;80
7544;212.3590;81
5520;207.6215;82
4887;207.0495;83
5423;206.6730;84
12999;206.1615;85
7725;205.7870;86
13709;205.7465;87
6620;204.1095;88
2904;203.5930;89
4198;203.3150;90
7811;197.9425;91
6621;196.7125;92
14885;196.4380;93
8549;194.0065;94
8769;193.5950;95
10450;191.8185;96
4022;191.8010;97
1138;190.5305;98
8312;189.5160;99
17167;189.4560;100
1054;184.9760;101
11600;182.9655;102
5464;181.6715;103
5310;180.9555;104
5084;180.3185;105
10533;178.6135;106
7341;177.0505;107
14234;176.6380;108
4405;174.6705;109
17161;174.0540;110
15511;173.8400;111
5314;173.8235;112
2673;173.7675;113
7722;172.8605;114
9643;171.8780;115
10095;171.4395;116
5691;170.4650;117
9549;170.0070;118
2666;169.0470;119
12899;167.9985;120
4735;167.9535;121
11903;167.1940;122
2827;166.2570;123
15477;165.4930;124
5400;165.4550;125
2676;164.0705;126
3978;161.7720;127
4212;161.7185;128
18890;161.0655;129
7827;160.3160;130
2013;160.1270;131
3633;156.5670;132
14783;152.2115;133
12123;151.2705;134
7796;151.2140;135
5282;151.1730;136
5534;150.4410;137
8485;149.6915;138
1617;147.9770;139
6751;147.7970;140
4303;147.3410;141
14782;145.0305;142
1749;144.7840;143
8434;144.4395;144
3345;143.5545;145
15120;142.8065;146
11296;140.8735;147
2894;140.5120;148
7603;139.6995;149
15519;138.8290;150
16645;138.7485;151
15621;138.2685;152
1206;137.7875;153
8308;137.7855;154
6336;137.5920;155
1220;137.0830;156
19121;135.0065;157
2831;134.4455;158
5624;134.3230;159
8950;134.2540;160
8978;133.8920;161
5059;133.7255;162
16184;130.3445;163
2727;129.1360;164
2519;128.8095;165
3497;128.8075;166
6845;127.4720;167
6131;127.2725;168
4431;127.0840;169
4531;124.7960;170
3546;124.6960;171
2501;124.4215;172
5568;123.3770;173
5708;122.6555;174
3920;121.8845;175
2495;121.2005;176
12474;120.5605;177
1128;119.9465;178
1502;118.0455;179
6382;118.0210;180
17134;117.8150;181
5701;116.7090;182
9822;116.6440;183
11471;115.1940;184
3939;114.7115;185
6346;114.4440;186
6830;114.0420;187
5352;113.1020;188
3496;112.8340;189
4906;112.6260;190
10117;112.2220;191
6812;111.6590;192
6543;110.7160;193
3184;110.3215;194
5730;110.1875;195
6542;110.0940;196
8117;109.2980;197
5386;109.2535;198
4563;108.3675;199
7025;108.2435;200
3644;107.4340;201
18128;107.4195;202
1781;107.1300;203
10534;106.4690;204
4242;106.0605;205
5989;106.0450;206
16859;105.9245;207
1208;105.2375;208
5264;105.1435;209
5523;104.6110;210
2460;104.4325;211
2698;103.6780;212
7190;102.5470;213
3293;102.1130;214
11769;101.9810;215
11809;101.8965;216
3423;101.8470;217
2497;101.4115;218
16183;101.1525;219
5446;101.0940;220
2158;100.9740;221
7818;100.6795;222
4602;100.3135;223
6580;100.1975;224
4353;99.7200;225
1739;98.5380;226
6801;98.0860;227
5353;97.6985;228
17298;97.4950;229
14420;95.4200;230
16875;95.4195;231
2515;95.1725;232
5069;95.1535;233
17721;95.0645;234
7114;95.0270;235
5454;94.1685;236
18256;94.0235;237
12129;93.7180;238
4430;93.5970;239
1272;93.4070;240
3206;92.8685;241
18252;92.7000;242
1840;92.3500;243
6129;92.0275;244
2933;91.8845;245
4751;91.6980;246
10721;91.6595;247
7617;91.4540;248
6923;91.3205;249
13412;91.1875;250
4319;90.4240;251
12362;90.3325;252
2846;90.2960;253
9568;89.9680;254
10209;89.7515;255
7596;88.3250;256
2921;88.1065;257
6714;88.0940;258
1397;87.8695;259
5378;87.7800;260
18257;87.6285;261
5505;87.4995;262
5739;86.8255;263
11934;86.8240;264
4347;86.5835;265
3454;86.5640;266
13411;86.5095;267
7044;86.1105;268
4802;85.9305;269
7563;85.1870;270
4109;85.0015;271
13364;84.4005;272
16315;83.3995;273
3003;83.3605;274
5859;83.1630;275
2804;83.1320;276
8593;83.0265;277
1288;82.8095;278
7475;82.7165;279
1381;82.6805;280
8283;82.1740;281
2644;82.1265;282
3542;82.0165;283
17299;81.2500;284
7526;81.2140;285
6800;81.0570;286
2703;80.9860;287
7729;80.9640;288
3523;80.7835;289
5830;80.6150;290
1171;80.5705;291
2671;80.5505;292
3549;79.9040;293
9418;79.5215;294
7271;79.4750;295
2809;79.2730;296
7246;79.0595;297
17082;78.5735;298
18378;78.5500;299
1291;78.5115;300
4852;78.1470;301
7215;78.0995;302
1831;77.8465;303
16898;77.5825;304
4682;77.4685;305
2807;77.1440;306
7854;77.1385;307
9424;76.8525;308
15922;76.5660;309
6873;76.3920;310
4547;76.3915;311
6758;76.2630;312
10105;75.8125;313
5248;75.5425;314
4707;75.4560;315
1705;75.2960;316
5023;75.1355;317
14250;74.9205;318
6954;74.8290;319
14286;74.8020;320
16259;74.7465;321
2642;74.6820;322
7940;74.5760;323
1483;74.4675;324
4360;74.2740;325
4593;74.0070;326
6526;73.8670;327
3787;73.4865;328
4474;73.4310;329
1433;73.3750;330
1643;73.2970;331
11834;73.2005;332
16317;73.0910;333
7033;73.0290;334
8182;72.8495;335
2489;72.6570;336
1345;72.5855;337
6716;72.5770;338
6765;72.3845;339
7794;71.9950;340
17384;71.9830;341
1152;71.6145;342
6225;71.6040;343
7710;71.4160;344
5876;71.3145;345
6915;71.2420;346
7405;71.1175;347
10563;71.0765;348
8945;70.6500;349
3775;70.0980;350
2977;69.3340;351
7779;69.0250;352
5606;68.9515;353
7815;68.8975;354
8195;68.8885;355
6522;68.1290;356
6165;68.0280;357
6128;67.7350;358
4696;67.7180;359
6904;67.6935;360
6112;67.6125;361
3455;67.4480;362
4043;67.2690;363
3434;67.2190;364
4509;66.7940;365
2468;66.6025;366
7370;66.4350;367
13993;66.2520;368
18032;66.1280;369
3696;66.0730;370
18197;66.0430;371
5732;66.0165;372
2663;65.9660;373
1945;65.8875;374
3020;65.7810;375
1770;65.7795;376
13491;65.7000;377
4413;65.5315;378
5483;65.5195;379
2976;65.3465;380
2507;65.2775;381
3064;65.2630;382
16829;65.1830;383
6507;64.7190;384
12272;64.7180;385
12846;64.2185;386
3529;64.1405;387
5944;63.9350;388
3512;63.9205;389
4632;63.8590;390
15757;63.8470;391
4731;63.8385;392
2891;63.6320;393
6629;63.5210;394
3029;63.4165;395
3815;63.2740;396
5675;63.2350;397
3724;63.1880;398
6598;63.1200;399
5213;62.4925;400
12575;62.4635;401
2757;62.2720;402
6080;62.1575;403
3063;62.1140;404
6994;62.0175;405
9303;62.0135;406
6147;61.8180;407
3104;61.7040;408
12127;61.5055;409
6414;61.4590;410
6116;61.1980;411
2166;61.1550;412
7939;60.9840;413
3881;60.8665;414
2683;60.8110;415
15976;60.7740;416
3401;60.7450;417
4412;60.6970;418
2324;60.6545;419
5822;60.3585;420
11428;60.0315;421
17361;59.9370;422
13140;59.6620;423
15802;59.6540;424
12253;59.6090;425
4949;59.1745;426
15916;58.9405;427
1730;58.6945;428
3096;58.5150;429
15023;58.4910;430
8078;58.3230;431
8899;58.2065;432
2774;58.1530;433
3763;58.0795;434
9491;57.9625;435
1299;57.4525;436
4985;57.4015;437
10472;57.3870;438
6648;57.2420;439
2533;57.0765;440
6895;57.0765;440
4797;56.9570;442
1032;56.5705;443
2382;56.4530;444
8930;56.3000;445
2990;56.2775;446
5226;56.0965;447
4463;55.9605;448
8297;55.8980;449
11928;55.7730;450
13060;55.6625;451
2524;55.4590;452
8119;55.4510;453
6876;55.4170;454
1713;55.3780;455
10403;55.3050;456
7346;55.2365;457
5696;55.2130;458
13828;55.0835;459
2823;55.0300;460
7891;54.9840;461
12634;54.7985;462
8793;54.5405;463
