MSC Cezar;Ranking R17 File;OFB;#28
28;"Edycja 26.";"Grudzieñ 2023";2023-12-31;6000
---
r1_pid;r1_score;r1_loc
12197;1226.9050;1
6658;906.6720;2
4662;803.6500;3
8513;769.9735;4
7291;638.0550;5
8158;589.4105;6
11550;562.8370;7
5176;553.5465;8
1661;525.9695;9
1318;507.8135;10
5341;477.6410;11
6706;467.9805;12
6341;467.9775;13
4762;467.1715;14
14783;466.8775;15
4111;449.8130;16
12154;445.8795;17
14728;441.8340;18
6815;425.0335;19
8203;420.1430;20
6336;414.9495;21
6973;395.9935;22
9138;395.5010;23
8979;393.0605;24
4740;389.2850;25
5056;389.0880;26
14782;386.0745;27
2806;381.7275;28
11319;374.1885;29
13438;365.0700;30
4250;360.5935;31
5423;345.7950;32
12450;344.7440;33
6909;343.8290;34
6540;343.0215;35
5611;341.6115;36
4108;316.6615;37
1539;315.5890;38
6554;311.1870;39
9357;310.0580;40
12320;305.4540;41
7849;305.1540;42
7242;302.4220;43
10085;298.6010;44
1345;285.5390;45
23206;284.5400;46
4451;279.9800;47
9550;279.4340;48
8294;276.0305;49
4163;275.4830;50
4842;270.7180;51
2934;266.6090;52
10370;266.2025;53
1223;265.6205;54
2121;262.2990;55
15595;261.2825;56
6551;252.7725;57
4198;248.9935;58
7809;246.1995;59
7431;244.9760;60
13709;243.8045;61
21440;240.8160;62
21439;240.6360;63
9146;239.0910;64
21517;238.7605;65
6620;232.4740;66
1115;232.1605;67
6621;231.1545;68
7869;227.7345;69
12899;223.4390;70
5574;222.5375;71
9755;220.9380;72
9643;218.1110;73
2966;216.4135;74
5363;215.1375;75
10095;214.6805;76
6795;214.6170;77
1865;212.6020;78
10450;209.8435;79
1726;201.4815;80
8195;198.7295;81
7725;195.9310;82
14885;191.4845;83
4665;189.0615;84
8549;189.0530;85
4735;186.8250;86
3960;186.2290;87
4535;185.9110;88
1347;183.2545;89
5856;183.2190;90
5282;182.6950;91
4922;180.2345;92
8769;177.6630;93
4699;176.2345;94
19120;175.5545;95
10533;169.8290;96
11296;168.7930;97
18760;168.4310;98
14619;167.9095;99
5670;167.1055;100
17167;165.8345;101
8312;162.7980;102
5310;162.6480;103
4242;161.4285;104
3496;161.0535;105
3644;161.0405;106
6802;157.5205;107
1138;157.2595;108
4022;156.2495;109
12999;156.0215;110
12474;154.6820;111
5859;154.0350;112
4405;148.2610;113
18890;148.2105;114
15477;145.9520;115
8485;145.8630;116
4588;144.5775;117
3293;141.7455;118
15511;141.4540;119
16898;138.1880;120
17721;137.3065;121
5352;136.9900;122
4602;136.6630;123
4212;135.2320;124
11903;134.9790;125
5520;134.8415;126
5353;134.6100;127
11809;134.4785;128
2904;134.0405;129
13412;133.5835;130
12123;130.9010;131
2673;130.8720;132
9822;130.1740;133
17082;128.8220;134
1749;128.5180;135
7603;128.5160;136
1220;128.1305;137
8950;127.8620;138
1128;127.5705;139
2501;127.1685;140
1617;125.1980;141
2013;125.0245;142
5732;123.8580;143
2698;123.4240;144
5374;122.2675;145
2114;121.5770;146
4353;121.1225;147
2827;121.0430;148
3345;119.8940;149
19121;119.8220;150
5400;119.7020;151
14286;118.2495;152
1739;116.3130;153
2644;114.3225;154
5989;114.3160;155
7341;112.9810;156
5084;112.6790;157
7940;112.3560;158
4985;111.9585;159
6131;111.8750;160
8978;111.0545;161
2727;110.7570;162
5708;110.5055;163
5111;110.0290;164
5314;109.8510;165
4563;109.1765;166
11600;108.8725;167
15519;107.8310;168
5568;107.7870;169
1206;106.7310;170
5446;106.4020;171
4303;106.3330;172
5023;106.3245;173
13364;106.0795;174
7190;105.4865;175
7099;105.4025;176
1397;104.7210;177
16829;104.6575;178
5691;103.7475;179
17161;103.1190;180
5059;103.0055;181
2519;102.6625;182
1643;102.2610;183
12127;102.2605;184
4887;101.5680;185
16875;101.2730;186
3920;101.1455;187
4906;101.0370;188
3939;100.2555;189
16859;100.1920;190
1381;100.1145;191
5534;99.6845;192
7710;99.5285;193
4431;97.6320;194
4707;97.3705;195
7902;97.1055;196
7221;96.7635;197
3978;96.5170;198
3546;96.1300;199
2831;95.7225;200
8283;95.4170;201
18645;95.2075;202
7544;94.4390;203
18252;94.3625;204
10570;93.4280;205
6923;93.2730;206
5454;93.1425;207
1054;93.1350;208
5464;92.1010;209
18256;91.0860;210
3206;90.7375;211
6382;90.6735;212
14420;90.3445;213
3003;90.2785;214
5483;90.0865;215
8117;89.9425;216
6954;89.7025;217
7818;89.5995;218
10148;89.0830;219
6542;88.3270;220
7246;88.1440;221
6543;88.1105;222
3423;88.0155;223
7215;87.7540;224
4319;86.8485;225
9763;86.6215;226
1208;86.5505;227
2703;86.3175;228
2460;86.2035;229
7906;86.1695;230
2116;85.9340;231
17298;84.8425;232
2676;84.8025;233
2515;83.6535;234
6112;83.5255;235
7827;83.2330;236
7729;83.0265;237
4110;82.5715;238
7563;82.3185;239
7617;82.1310;240
4067;81.9105;241
16645;81.8955;242
9568;81.7040;243
15621;81.6560;244
6648;80.9735;245
17030;80.0140;246
15259;79.9010;247
6116;79.8525;248
8308;79.3010;249
14234;79.2000;250
17495;79.1695;251
12575;79.1195;252
1272;78.9140;253
6716;78.4260;254
3184;78.3030;255
8930;78.2385;256
3542;78.2065;257
16317;78.1890;258
2489;77.7430;259
16259;77.5190;260
10403;77.2165;261
8297;77.1710;262
2495;76.9505;263
5701;76.9285;264
4347;76.6975;265
18128;76.1925;266
7722;75.9770;267
4077;75.6645;268
2809;75.1355;269
5624;75.0845;270
6137;75.0050;271
2666;74.9665;272
5213;74.8655;273
6225;74.0245;274
16140;73.8855;275
9303;73.8750;276
5822;73.6500;277
4751;73.4565;278
7346;72.9265;279
6963;72.8160;280
15414;72.5905;281
7000;72.5835;282
3497;72.3065;283
11769;71.6295;284
9387;71.5340;285
16184;71.4145;286
10209;70.9645;287
9549;70.5620;288
11471;70.4990;289
19830;70.3930;290
5880;70.0315;291
5918;69.9770;292
11899;69.8165;293
10793;69.5545;294
3434;69.5115;295
18378;69.1250;296
3529;69.0665;297
2395;68.8540;298
5876;68.7795;299
7782;68.7545;300
18284;68.4740;301
8182;68.3230;302
2468;67.7700;303
1731;67.6140;304
12108;67.4380;305
8593;67.3585;306
3844;67.3500;307
1705;67.1845;308
7811;67.1230;309
16585;67.0010;310
4531;66.5645;311
13411;66.4710;312
1483;66.3630;313
7271;66.3605;314
12006;65.8950;315
9418;65.3680;316
6801;64.6640;317
8119;64.6465;318
5523;64.6340;319
11928;64.4405;320
17935;64.3250;321
3064;64.3135;322
1882;64.3040;323
10721;64.2685;324
6512;64.2510;325
1291;64.1600;326
15120;64.1135;327
5678;64.0175;328
2683;64.0090;329
4063;63.5035;330
7033;63.4240;331
9736;63.3690;332
3633;63.2900;333
9228;63.2690;334
2533;63.1450;335
3096;62.8075;336
20076;62.8000;337
14250;62.6425;338
3647;62.6005;339
7114;62.5485;340
17539;62.5195;341
7854;62.3985;342
4682;62.1570;343
4360;61.6780;344
15032;61.6620;345
2642;61.6330;346
2496;61.6285;347
16183;61.0800;348
1288;61.0655;349
4430;60.8275;350
20680;60.7960;351
17545;60.4650;352
2157;60.3400;353
19724;60.3015;354
7777;60.1065;355
21314;59.8240;356
13174;59.7265;357
4157;59.5630;358
5615;59.5240;359
10479;59.5030;360
9245;59.4985;361
17046;59.4565;362
5548;59.3215;363
11834;59.0145;364
6830;58.9935;365
4793;58.5820;366
6994;58.2435;367
6080;58.1335;368
13003;57.9010;369
6812;57.8935;370
8341;57.7060;371
2894;57.6110;372
4949;57.4710;373
3763;57.3000;374
17854;57.2330;375
4509;57.2025;376
7939;57.1820;377
16699;57.0115;378
4696;56.9250;379
4547;56.8470;380
1433;56.8270;381
6338;56.5105;382
21315;56.3495;383
6765;56.1100;384
7044;56.0205;385
4015;55.7430;386
5081;55.6395;387
1286;55.5885;388
4043;55.5625;389
9126;55.4135;390
2921;55.3360;391
6129;54.8895;392
10794;54.8400;393
4399;54.7415;394
10472;54.6785;395
4463;54.5650;396
14965;54.4520;397
10898;54.4490;398
7794;54.2940;399
4413;54.2485;400
2507;54.0230;401
6705;54.0020;402
6556;53.9850;403
3992;53.8615;404
3512;53.6840;405
5386;53.6610;406
6335;53.6340;407
5830;53.4925;408
6513;53.3410;409
8855;53.3320;410
6598;53.3265;411
3933;53.2390;412
2807;53.0875;413
3820;52.9175;414
7815;52.9025;415
5378;52.9020;416
2846;52.8475;417
4852;52.8310;418
2757;52.6345;419
3787;52.5880;420
4261;52.4470;421
6165;52.3370;422
9785;52.3330;423
12783;52.3315;424
1781;52.0875;425
5210;51.8460;426
3549;51.7730;427
1502;51.7510;428
12129;51.7335;429
1807;51.6580;430
5797;51.6545;431
3807;51.5015;432
12272;51.4720;433
3696;51.3920;434
2174;51.3555;435
17766;51.2050;436
4402;50.8915;437
5069;50.7875;438
6356;50.7265;439
4365;50.6970;440
7572;50.3140;441
4427;50.2760;442
6041;50.1900;443
3029;50.0545;444
8859;49.9835;445
17494;49.9680;446
8911;49.8890;447
2990;49.8775;448
3020;49.8470;449
7061;49.7295;450
10548;49.4385;451
2891;49.3345;452
12439;49.2775;453
4632;49.2475;454
1831;49.2005;455
1152;49.1715;456
5505;49.0610;457
2382;48.9380;458
5405;48.9315;459
8388;48.9080;460
6086;48.8685;461
11595;48.8340;462
5696;48.7335;463
16456;48.6530;464
1311;48.6310;465
5403;48.5735;466
2158;48.4415;467
6800;48.4110;468
5264;48.2415;469
4474;48.1860;470
11198;48.1140;471
1945;48.0770;472
4829;48.0560;473
17675;47.8990;474
17361;47.8820;475
12018;47.8140;476
11800;47.8080;477
4581;47.7940;478
2976;47.7695;479
10938;47.6240;480
12846;47.5740;481
1224;47.4925;482
3925;47.3330;483
4712;47.1525;484
14882;47.0680;485
6813;47.0590;486
3801;47.0105;487
17299;47.0055;488
11802;46.8450;489
6348;46.7745;490
1826;46.6860;491
18257;46.6380;492
16586;46.6240;493
21367;46.4760;494
4124;46.4415;495
1189;46.4405;496
1713;46.3835;497
7928;46.3790;498
9037;46.3540;499
2671;46.3415;500
1840;46.2750;501
6522;46.2670;502
3714;46.2475;503
5079;46.1740;504
1668;46.1735;505
8450;46.1730;506
10056;46.0975;507
6090;46.0950;508
12229;46.0480;509
5656;46.0155;510
10105;45.7610;511
6488;45.6725;512
15153;45.5460;513
1881;45.5405;514
15757;45.5365;515
12374;45.3755;516
9491;45.3130;517
12629;45.2880;518
6334;45.2820;519
8929;44.9980;520
1239;44.9500;521
18221;44.7685;522
5371;44.7620;523
5142;44.7445;524
6915;44.7260;525
1352;44.6450;526
6121;44.6405;527
5654;44.6160;528
4551;44.5910;529
7090;44.5755;530
3785;44.5275;531
12983;44.4550;532
10385;44.4090;533
5544;44.2855;534
2774;44.2495;535
2199;44.2150;536
2185;44.2110;537
3401;44.1530;538
3841;44.1330;539
15352;44.1175;540
1299;44.1095;541
7984;44.0675;542
4719;44.0490;543
17155;43.9185;544
1438;43.8645;545
4109;43.8510;546
12139;43.7015;547
4593;43.6005;548
6822;43.5955;549
5156;43.5665;550
1297;43.5620;551
3464;43.5515;552
10012;43.4885;553
2131;43.4500;554
2888;43.4095;555
22232;43.1900;556
7473;43.0855;557
2524;43.0090;558
6128;43.0055;559
7370;42.9900;560
20033;42.7915;561
8344;42.7880;562
17493;42.7860;563
2723;42.6790;564
11789;42.6350;565
16380;42.5950;566
6085;42.5875;567
5893;42.3940;568
5017;42.3915;569
3063;42.3730;570
18165;42.2180;571
12362;42.1930;572
14609;42.0660;573
2000;42.0270;574
1952;41.9960;575
11444;41.9775;576
16130;41.9180;577
3881;41.7490;578
10045;41.5425;579
8097;41.4425;580
5070;41.4215;581
9594;41.3980;582
14157;41.3710;583
9355;41.3645;584
4519;41.3245;585
12145;41.2500;586
13767;41.2145;587
6818;41.1645;588
7642;41.0325;589
2933;40.9995;590
8370;40.9380;591
20240;40.8565;592
5508;40.8380;593
1486;40.7960;594
3724;40.7440;595
6659;40.6820;596
3815;40.6535;597
5950;40.5840;598
7054;40.4280;599
5932;40.3980;600
7052;40.3585;601
6877;40.3165;602
2219;40.2775;603
11320;40.2655;604
8271;40.0575;605
18066;40.0195;606
15715;39.9850;607
4329;39.8325;608
5713;39.8285;609
3430;39.6445;610
1408;39.5600;611
3618;39.5185;612
5049;39.4705;613
4097;39.2385;614
11356;39.2295;615
2672;39.2040;616
1736;39.1765;617
4618;39.0605;618
3104;39.0560;619
4857;38.8505;620
19705;38.6775;621
2037;38.6560;622
1901;38.6120;623
5118;38.6085;624
2036;38.5300;625
4435;38.5295;626
12854;38.5100;627
4012;38.3835;628
18681;38.3215;629
9562;38.1225;630
6079;38.1070;631
4345;38.0765;632
3170;38.0355;633
1892;38.0270;634
6144;38.0090;635
4061;37.7995;636
5134;37.5865;637
4143;37.5075;638
17294;37.4575;639
5045;37.4085;640
11813;37.3765;641
2324;37.2565;642
7093;37.2210;643
14186;37.1970;644
15916;37.0740;645
14276;37.0290;646
1711;36.9990;647
1030;36.9870;648
1727;36.9175;649
18642;36.8730;650
6175;36.7995;651
3006;36.6990;652
1822;36.6800;653
5357;36.6400;654
18032;36.5665;655
12634;36.4915;656
6634;36.4865;657
7542;36.4490;658
3821;36.4140;659
4660;36.2750;660
13491;36.2600;661
13074;36.0685;662
6101;35.9645;663
20797;35.9170;664
17254;35.8180;665
10534;35.8165;666
7901;35.8100;667
14688;35.7660;668
3185;35.7330;669
18625;35.7025;670
4921;35.6770;671
5996;35.5730;672
7312;35.5460;673
1641;35.3935;674
6147;35.2900;675
13028;35.2420;676
14175;35.2185;677
6629;35.2175;678
3636;35.1085;679
3909;35.0800;680
4798;35.0465;681
12253;35.0315;682
4404;35.0065;683
5216;34.8380;684
17301;34.8150;685
12777;34.7635;686
8052;34.6035;687
13060;34.6015;688
6105;34.5985;689
19899;34.5985;689
5510;34.4045;691
1683;34.4035;692
3454;34.3420;693
6355;34.3320;694
1923;34.2850;695
1599;34.2685;696
12779;34.2605;697
4823;34.2245;698
7405;34.1755;699
19366;34.1230;700
5192;34.0290;701
6580;33.9615;702
6539;33.9575;703
2580;33.8055;704
18011;33.7860;705
14845;33.7720;706
1171;33.7465;707
1250;33.7355;708
1772;33.5990;709
12923;33.5975;710
5988;33.5945;711
6672;33.4800;712
8854;33.4470;713
18222;33.4325;714
3867;33.4160;715
8043;33.3835;716
10561;33.3775;717
5672;33.3435;718
21057;33.2985;719
10023;33.2925;720
7691;33.2580;721
4797;33.2295;722
8970;33.2255;723
11401;33.0860;724
6697;33.0835;725
14835;33.0590;726
1597;33.0360;727
3455;32.9785;728
17724;32.9600;729
7475;32.9045;730
3750;32.8680;731
13570;32.8305;732
9424;32.8175;733
8434;32.8045;734
13463;32.7765;735
18417;32.7445;736
5242;32.6790;737
12927;32.6210;738
4095;32.6135;739
14971;32.6135;739
1770;32.6055;741
4788;32.5730;742
17984;32.5600;743
20169;32.4720;744
5675;32.4245;745
13616;32.4050;746
5108;32.3945;747
16187;32.3340;748
9201;32.2830;749
2443;32.1880;750
2398;32.0685;751
7545;32.0415;752
1427;31.9020;753
2954;31.8830;754
5431;31.8260;755
6507;31.7610;756
3422;31.7500;757
13622;31.7205;758
14252;31.6570;759
4876;31.6215;760
9020;31.5825;761
6921;31.5755;762
4848;31.5520;763
13993;31.4810;764
4160;31.4760;765
4066;31.4095;766
