MSC Cezar;Ranking R17 File;OFB;#28
15;"Edycja 13.";"Grudzieñ 2019";2019-12-31;6000
---
r1_pid;r1_score;r1_loc
6658;846.1805;1
4662;831.7380;2
12197;827.2990;3
8513;680.3850;4
11319;512.9185;5
5341;503.0900;6
8979;500.3375;7
1661;498.6540;8
6973;481.6140;9
5176;479.3425;10
8158;475.0530;11
6341;471.9230;12
1318;471.8220;13
2806;468.9550;14
6706;452.3655;15
7291;439.8050;16
6540;435.0250;17
6815;431.8150;18
10085;429.6360;19
4740;407.8930;20
9146;400.9605;21
1115;389.8525;22
14728;382.0985;23
9138;373.6410;24
4250;370.9570;25
6909;364.1900;26
11550;354.0075;27
4108;344.5165;28
12450;332.4365;29
4451;326.1185;30
5611;315.1815;31
8203;311.8575;32
5363;310.1670;33
1865;299.3790;34
5111;295.7780;35
9357;291.4995;36
2121;290.3325;37
5056;289.2880;38
12154;283.0210;39
13438;280.1390;40
3844;278.5260;41
15595;277.2375;42
1347;273.2155;43
4922;266.5500;44
1539;264.5500;45
6551;262.2750;46
4842;260.7680;47
4535;259.6105;48
4762;258.6295;49
7242;252.8960;50
5374;250.6940;51
19120;245.1060;52
7869;238.4345;53
14619;237.8080;54
7431;236.0460;55
7809;233.9495;56
9755;232.4905;57
1726;231.9025;58
5574;227.9960;59
4111;223.7815;60
9550;222.5640;61
4163;220.9395;62
1223;220.8435;63
10370;218.2080;64
5670;217.3105;65
6795;214.1110;66
7849;213.1550;67
5718;207.8205;68
2966;204.6435;69
6887;201.8730;70
2934;201.8380;71
5856;198.7760;72
7725;196.7365;73
3960;193.1735;74
6554;192.6340;75
8294;192.2765;76
4665;190.4905;77
12320;187.8350;78
4588;187.7010;79
2904;185.5590;80
4887;182.4075;81
5423;180.0675;82
4699;178.9040;83
13709;177.6655;84
8312;177.5625;85
6620;177.5165;86
7544;176.7515;87
8769;174.4740;88
7811;174.0960;89
11600;173.8055;90
9549;171.5140;91
6621;170.3850;92
1138;170.3315;93
14234;168.7990;94
10095;166.4705;95
