MSC Cezar;Ranking R17 File;OFB;#28
36;"Edycja 34.";"Grudzieñ 2025";2025-12-31;6000
---
r1_pid;r1_score;r1_loc
12197;1334.7930;1
6658;1092.2264;2
4662;989.1820;3
7291;812.1220;4
8158;700.8655;5
11550;679.8565;6
14728;654.9250;7
5341;572.8855;8
2806;566.4870;9
8203;565.9455;10
5056;529.9785;11
23206;504.0810;12
5176;502.8340;13
4762;502.0330;14
4108;494.3675;15
10085;492.5745;16
12450;479.2200;17
8513;475.9480;18
1318;475.8480;19
14783;471.5390;20
1661;457.8285;21
4111;451.3665;22
6973;445.4030;23
6341;444.5355;24
6706;438.6240;25
13438;424.1835;26
1345;419.1515;27
14782;412.8925;28
9138;404.4830;29
6336;381.1890;30
12154;379.9490;31
13709;364.5150;32
6815;356.9790;33
5423;352.0585;34
4740;341.6480;35
9550;336.1260;36
2121;331.8590;37
5611;331.5245;38
2934;327.4065;39
8979;326.7585;40
6909;320.1175;41
7869;310.5140;42
9357;306.1090;43
4250;305.4760;44
8769;303.9435;45
6554;301.8080;46
7849;298.5835;47
6540;291.9165;48
8195;291.6910;49
8294;286.2855;50
7431;285.9320;51
12899;284.1305;52
11319;279.8700;53
1115;278.8210;54
1223;277.8025;55
6795;277.0040;56
6551;272.5745;57
19830;269.9295;58
12320;264.9180;59
15595;262.2855;60
5574;257.3165;61
1726;251.2800;62
18890;246.8660;63
9146;242.0090;64
9643;241.0935;65
4842;239.0875;66
18645;236.2905;67
21517;233.2205;68
12999;233.2080;69
21440;227.3290;70
21439;227.2300;71
10095;226.3285;72
4163;226.0950;73
16898;224.8050;74
10370;222.4285;75
4198;221.5925;76
4535;219.8095;77
7725;219.5790;78
6802;218.4545;79
1539;217.8060;80
7809;208.6020;81
6620;207.5730;82
5282;207.4345;83
6621;207.3930;84
5856;206.6735;85
4451;200.1620;86
4242;198.1980;87
7603;197.9945;88
11296;193.9150;89
12474;193.4780;90
1347;189.6980;91
5310;188.7185;92
14885;183.5190;93
2966;183.4455;94
8312;183.1025;95
8549;178.6580;96
1865;177.9885;97
11600;177.8340;98
4922;176.1975;99
17721;172.7115;100
3496;172.1825;101
5520;171.8625;102
2114;170.6025;103
18760;169.5885;104
17545;168.1725;105
3960;167.7630;106
3644;165.0990;107
7242;164.6060;108
5446;162.5375;109
5670;162.1570;110
14286;161.9240;111
10450;161.4075;112
5400;159.5115;113
9755;157.9420;114
17082;157.4615;115
2698;157.2250;116
5023;157.0050;117
4665;156.4340;118
12108;155.6700;119
4022;155.1940;120
8950;155.0660;121
5363;154.7265;122
10533;152.1155;123
1731;151.7125;124
10148;151.5275;125
17539;150.8405;126
8485;150.5495;127
18284;148.4905;128
9822;147.5945;129
5352;143.8220;130
4588;141.8245;131
8978;140.0780;132
4405;139.6445;133
19724;139.5560;134
1128;139.3395;135
1138;137.8215;136
5918;137.5025;137
22882;137.5010;138
15259;136.9810;139
1807;134.2685;140
2395;134.2225;141
4699;133.5270;142
9691;132.9775;143
4735;132.9395;144
5708;132.3565;145
7940;131.9255;146
7827;129.3540;147
4793;129.0750;148
7902;128.8285;149
2013;128.8195;150
5701;128.3705;151
3293;128.1005;152
1397;127.9815;153
5084;127.8300;154
2644;126.2095;155
9303;124.9870;156
7099;124.2740;157
1220;124.1690;158
5989;123.8945;159
5859;123.8910;160
6923;123.8390;161
14420;122.4445;162
5070;122.0865;163
5353;122.0160;164
15477;120.7730;165
20261;119.4005;166
4353;119.1455;167
1749;118.1825;168
3401;116.4900;169
5568;116.2795;170
3920;114.5800;171
5069;114.5385;172
16585;114.1310;173
23406;113.0425;174
17167;112.5760;175
5314;112.2800;176
2496;111.0265;177
5374;109.9465;178
3546;109.5095;179
16859;109.2470;180
5534;108.9340;181
11802;108.8380;182
17030;108.7240;183
5624;108.6740;184
13364;107.2390;185
4110;107.0235;186
4212;106.5110;187
16829;105.6655;188
17495;105.4335;189
3978;104.6370;190
13412;104.2730;191
9126;104.2670;192
1617;103.1635;193
5483;102.4615;194
2904;102.1395;195
3003;102.0610;196
15414;101.9020;197
11809;101.6975;198
6131;101.4080;199
2921;101.1225;200
15511;100.3860;201
8930;99.4395;202
3647;99.1370;203
3345;98.8545;204
4303;98.6900;205
10054;98.6345;206
5880;98.2820;207
2489;98.0970;208
4906;98.0290;209
1381;97.4390;210
4431;97.3640;211
2673;97.2355;212
6112;96.6195;213
5059;96.3930;214
12006;96.2715;215
12123;96.0235;216
2727;95.8590;217
4551;95.5810;218
20655;94.4705;219
16140;94.1595;220
4887;92.5715;221
3064;92.5065;222
2501;92.4270;223
7221;91.5615;224
8308;91.3675;225
2703;90.1845;226
5454;90.0495;227
4602;89.9775;228
7710;89.5800;229
6512;89.1575;230
7000;89.0105;231
11769;88.2195;232
