MSC Cezar;Ranking R17 File;OFB;#28
12;"Edycja 10.";"Marzec 2019";2019-03-31;6000
---
r1_pid;r1_score;r1_loc
12197;879.4580;1
8513;738.7725;2
6658;640.3735;3
4662;625.6275;4
8979;564.1520;5
1318;491.4920;6
8158;489.8655;7
11319;483.8230;8
6973;474.7435;9
1661;459.1270;10
2806;454.9895;11
5341;454.3580;12
6706;436.5980;13
6815;426.3975;14
5176;425.3795;15
10085;417.2865;16
4740;412.8295;17
3844;405.7050;18
1115;390.4905;19
14728;382.8900;20
4250;377.0790;21
4108;358.3880;22
4451;336.5180;23
8203;335.2895;24
2121;328.9990;25
6341;328.8705;26
9138;323.2890;27
12450;316.1005;28
5611;314.5965;29
6909;311.5470;30
5056;302.4980;31
5363;292.8190;32
7291;284.3665;33
6540;270.1490;34
15595;269.2485;35
5111;266.2545;36
1347;264.3540;37
4922;263.2465;38
1539;261.0810;39
1865;259.7310;40
7242;258.3490;41
5374;254.6035;42
4842;251.7940;43
11550;244.4340;44
7869;239.4055;45
7431;237.9225;46
4535;237.6365;47
5574;236.8670;48
6551;223.2810;49
9357;223.1605;50
1726;222.1305;51
6887;214.6675;52
9146;214.2730;53
13438;211.2060;54
7849;211.0855;55
6795;209.7720;56
6554;205.5380;57
12154;204.5050;58
9755;203.6530;59
4762;202.7925;60
7811;201.2495;61
4665;198.8660;62
5856;198.1065;63
1223;195.3530;64
9550;194.1280;65
7809;193.2790;66
8294;192.6100;67
14619;189.7560;68
10095;183.9760;69
5670;181.3385;70
19120;178.8335;71
2934;178.7875;72
3960;176.0020;73
2966;175.3715;74
10370;173.3325;75
9549;172.7220;76
4588;172.5720;77
4163;172.2865;78
5718;169.3790;79
8769;168.1135;80
2666;166.2830;81
7796;165.7025;82
4699;164.9370;83
4022;163.2850;84
1138;163.0745;85
17134;159.6830;86
11600;159.5160;87
5423;158.0730;88
14234;157.5950;89
2904;156.5975;90
2013;155.2135;91
5084;154.7015;92
14885;152.8050;93
8549;150.0750;94
7725;150.0570;95
4887;149.8510;96
7544;148.2340;97
4111;148.2150;98
5624;145.7690;99
6963;145.6495;100
7341;144.0485;101
8312;143.5560;102
1054;141.5720;103
6620;140.8675;104
12320;139.6060;105
4198;138.7575;106
2673;137.8780;107
13709;137.4400;108
2827;137.2550;109
6621;133.0780;110
5520;132.3755;111
7827;132.1135;112
8485;131.1270;113
12999;129.8600;114
10533;127.6810;115
12899;126.7370;116
5282;126.1140;117
4735;125.8525;118
5701;125.5990;119
10450;125.0225;120
4531;123.2880;121
17167;122.7565;122
12123;122.6830;123
7603;120.0530;124
3633;119.0850;125
3978;118.7465;126
1206;118.4935;127
9643;118.4425;128
1749;118.4045;129
5534;118.1320;130
5691;117.1970;131
3497;116.8025;132
8308;116.7695;133
6845;116.6965;134
5310;116.3975;135
2501;116.0395;136
15922;114.5375;137
1220;113.6230;138
17161;113.2560;139
4527;112.7830;140
1502;112.6780;141
5400;111.7945;142
8434;110.6470;143
7722;110.1005;144
5059;110.0710;145
3345;109.4130;146
5464;109.1510;147
3266;109.0305;148
6346;108.4235;149
10534;108.1210;150
2727;107.6540;151
15511;107.4640;152
16645;107.3180;153
8117;106.1420;154
12362;105.1245;155
15120;103.9985;156
6131;103.8710;157
3847;103.7395;158
2676;103.7085;159
11903;102.5525;160
5314;102.3965;161
2933;101.9715;162
8978;101.3325;163
1617;101.1335;164
8950;100.8935;165
15621;100.0150;166
11471;98.9990;167
4212;98.4410;168
1831;98.2205;169
5730;97.5895;170
5069;97.0185;171
9822;96.7530;172
2495;96.2875;173
11769;95.8385;174
11296;95.1090;175
2831;94.8825;176
5989;94.5125;177
5708;94.3175;178
4906;94.1030;179
7818;93.7915;180
2894;93.6625;181
6543;93.2540;182
5386;92.9055;183
7025;92.7425;184
3546;92.3310;185
4802;91.7200;186
6542;91.5420;187
1128;91.5070;188
18197;91.3215;189
5739;91.1605;190
7190;90.5970;191
4405;90.2510;192
6873;89.9870;193
6689;89.0885;194
16859;88.9170;195
2519;88.5645;196
5830;88.1850;197
8195;88.1660;198
1840;87.8545;199
2460;87.6105;200
6994;87.1195;201
12474;87.1060;202
6526;86.2670;203
6751;85.9965;204
18890;85.7165;205
6954;85.6400;206
3787;85.3315;207
4242;85.2260;208
5568;84.6870;209
16184;84.0675;210
14783;83.7190;211
6812;83.4655;212
6830;83.2445;213
2158;83.1820;214
4303;82.0540;215
14782;82.0265;216
5352;81.9265;217
3523;81.7395;218
3644;80.7225;219
7854;80.1770;220
6923;79.8245;221
4109;79.8210;222
5378;79.7920;223
16875;79.5025;224
6580;79.4855;225
5505;79.2280;226
10793;78.6280;227
15477;78.4890;228
1739;78.0265;229
6800;77.9860;230
4430;77.9425;231
2698;77.5820;232
6648;77.0105;233
7044;76.9040;234
3939;76.8355;235
6629;76.5340;236
6382;76.2700;237
5454;75.8320;238
7782;75.8090;239
5446;75.5035;240
3920;75.1365;241
4563;74.7985;242
2846;74.7115;243
2807;74.4245;244
10117;74.4090;245
1781;74.2320;246
6801;73.7985;247
1171;73.6290;248
11428;73.0640;249
10721;72.6975;250
15519;72.6530;251
11809;72.2455;252
2671;71.6060;253
2977;71.5820;254
18128;71.2705;255
5353;71.1350;256
4360;71.1105;257
