9643,2017-09-30,165,98.0125
11471,2017-09-30,166,97.2895
4212,2017-09-30,167,97.1880
4198,2017-09-30,168,96.7305
2831,2017-09-30,169,96.3565
3523,2017-09-30,170,96.2230
5691,2017-09-30,171,95.6470
11600,2017-09-30,172,94.6840
6800,2017-09-30,173,94.4105
2671,2017-09-30,174,94.0560
2496,2017-09-30,175,93.0725
5830,2017-09-30,176,92.9890
8978,2017-09-30,177,92.3610
4731,2017-09-30,178,91.6410
7860,2017-09-30,179,91.1270
1840,2017-09-30,180,90.6970
1831,2017-09-30,181,90.2945
6923,2017-09-30,182,89.7730
3787,2017-09-30,183,89.4275
2977,2017-09-30,184,89.3705
18197,2017-09-30,185,88.8945
3184,2017-09-30,186,88.7070
5378,2017-09-30,187,88.3245
5505,2017-09-30,188,87.4395
8434,2017-09-30,189,87.0565
3644,2017-09-30,190,86.5505
1807,2017-09-30,191,86.4245
4242,2017-09-30,192,86.3895
2460,2017-09-30,193,86.0330
5314,2017-09-30,194,85.8535
5730,2017-09-30,195,85.8525
4887,2017-09-30,196,85.5990
7722,2017-09-30,197,85.4915
5386,2017-09-30,198,85.4545
2807,2017-09-30,199,85.2540
6629,2017-09-30,200,84.4370
5989,2017-09-30,201,83.4390
8308,2017-09-30,202,83.2785
2933,2017-09-30,203,83.0475
11769,2017-09-30,204,82.4200
3546,2017-09-30,205,82.1710
10533,2017-09-30,206,81.9760
6131,2017-09-30,207,81.4615
2166,2017-09-30,208,81.3115
4563,2017-09-30,209,81.1235
4593,2017-09-30,210,81.1200
6522,2017-09-30,211,80.7005
11809,2017-09-30,212,80.5000
2158,2017-09-30,213,80.3125
5464,2017-09-30,214,79.7665
12152,2017-09-30,215,79.6750
4303,2017-09-30,216,78.6875
8283,2017-09-30,217,78.3535
1749,2017-09-30,218,77.9165
2894,2017-09-30,219,77.7240
1617,2017-09-30,220,77.6200
1220,2017-09-30,221,77.0455
15120,2017-09-30,222,76.8995
10450,2017-09-30,223,75.9525
3920,2017-09-30,224,75.5540
2846,2017-09-30,225,75.5085
12320,2017-09-30,226,75.0485
6801,2017-09-30,227,74.9250
6812,2017-09-30,228,74.8675
6689,2017-09-30,229,74.5990
3815,2017-09-30,230,74.4450
5264,2017-09-30,231,74.4155
6830,2017-09-30,232,74.2575
10570,2017-09-30,233,73.8410
4602,2017-09-30,234,73.4880
4360,2017-09-30,235,73.1165
10721,2017-09-30,236,73.0630
7475,2017-09-30,237,73.0390
7283,2017-09-30,238,72.9110
5307,2017-09-30,239,72.4950
10534,2017-09-30,240,72.4905
2804,2017-09-30,241,71.8670
1208,2017-09-30,242,71.7530
4547,2017-09-30,243,71.6895
1171,2017-09-30,244,70.7735
7794,2017-09-30,245,70.7480
3401,2017-09-30,246,70.3090
1945,2017-09-30,247,70.1200
7090,2017-09-30,248,69.9855
11296,2017-09-30,249,69.9035
12474,2017-09-30,250,69.6960
2698,2017-09-30,251,69.5660
2597,2017-09-30,252,69.5460
2495,2017-09-30,253,69.4485
11428,2017-09-30,254,68.9515
6895,2017-09-30,255,68.9470
7710,2017-09-30,256,67.9980
2519,2017-09-30,257,67.8905
7646,2017-09-30,258,67.7595
7779,2017-09-30,259,66.7745
4906,2017-09-30,260,66.4915
7854,2017-09-30,261,66.4465
1483,2017-09-30,262,66.1785
1781,2017-09-30,263,65.6260
3423,2017-09-30,264,65.1495
15511,2017-09-30,265,65.1390
4684,2017-09-30,266,65.1080
16875,2017-09-30,267,65.0435
5615,2017-09-30,268,65.0120
10209,2017-09-30,269,64.8140
2703,2017-09-30,270,64.7900
7246,2017-09-30,271,64.7825
13074,2017-09-30,272,64.6145
7215,2017-09-30,273,64.6025
1705,2017-09-30,274,63.9010
4110,2017-09-30,275,63.1715
5568,2017-09-30,276,63.0580
16645,2017-09-30,277,62.8330
2683,2017-09-30,278,62.7545
4431,2017-09-30,279,62.7430
16317,2017-09-30,280,62.6080
1381,2017-09-30,281,62.2205
4696,2017-09-30,282,62.0500
6963,2017-09-30,283,61.9985
2515,2017-09-30,284,61.9580
3064,2017-09-30,285,61.8625
7926,2017-09-30,286,61.3100
7190,2017-09-30,287,61.1425
14420,2017-09-30,288,60.8190
8078,2017-09-30,289,60.5620
2757,2017-09-30,290,60.4815
17167,2017-09-30,291,60.2605
9424,2017-09-30,292,60.1260
3185,2017-09-30,293,59.8850
1288,2017-09-30,294,59.8145
4430,2017-09-30,295,59.7085
16859,2017-09-30,296,59.6605
2650,2017-09-30,297,59.4680
5454,2017-09-30,298,58.8530
2174,2017-09-30,299,58.8095
3389,2017-09-30,300,58.3155
5329,2017-09-30,301,58.0280
4712,2017-09-30,302,57.6535
3847,2017-09-30,303,57.4760
5523,2017-09-30,304,57.1960
4852,2017-09-30,305,56.8955
13412,2017-09-30,306,56.6695
4707,2017-09-30,307,56.6275
7729,2017-09-30,308,56.4875
3454,2017-09-30,309,56.3460
10171,2017-09-30,310,56.2510
2976,2017-09-30,311,55.8110
13828,2017-09-30,312,55.6305
5226,2017-09-30,313,55.4870
6129,2017-09-30,314,55.4495
8593,2017-09-30,315,55.2880
3549,2017-09-30,316,55.2765
2823,2017-09-30,317,55.1655
3529,2017-09-30,318,55.1590
12129,2017-09-30,319,55.0850
2676,2017-09-30,320,55.0815
13071,2017-09-30,321,54.9425
2663,2017-09-30,322,54.8585
4405,2017-09-30,323,54.8420
3206,2017-09-30,324,54.4995
1019,2017-09-30,325,54.4415
3775,2017-09-30,326,54.4060
7370,2017-09-30,327,54.3435
9568,2017-09-30,328,54.2100
6274,2017-09-30,329,54.0885
7526,2017-09-30,330,54.0365
6915,2017-09-30,331,53.9545
3542,2017-09-30,332,53.9425
1291,2017-09-30,333,53.8850
5695,2017-09-30,334,53.8490
6876,2017-09-30,335,53.7620
1433,2017-09-30,336,53.6920
8341,2017-09-30,337,53.4620
10444,2017-09-30,338,53.3470
3724,2017-09-30,339,53.2145
8911,2017-09-30,340,53.1920
1739,2017-09-30,341,53.1275
6765,2017-09-30,342,53.0900
2833,2017-09-30,343,52.9485
12272,2017-09-30,344,52.5940
6705,2017-09-30,345,52.5665
3003,2017-09-30,346,52.4070
15519,2017-09-30,347,52.2285
4165,2017-09-30,348,52.2225
7815,2017-09-30,349,51.9325
10105,2017-09-30,350,51.8145
2809,2017-09-30,351,51.7170
2093,2017-09-30,352,51.4665
2382,2017-09-30,353,51.4405
5170,2017-09-30,354,51.3630
16829,2017-09-30,355,51.3260
4632,2017-09-30,356,51.2655
17161,2017-09-30,357,51.1780
